District.Name,Month,NewCasesStudents,NewCasesTeachers,NewCasesStaff,num.report.school,AccuCasesStudents,AccuCasesTeachers,AccuCasesStaff,NCESDistrictID,pop.5.17,Norm.New.Stud,share_inperson,share_hybrid,share_virtual
CLARKSTOWN CSD,2020-11-01,15,1,8,13,25,3,12,3620340,9859,1.5214524799675424,0,0.6240226,0.37597737
CLARKSTOWN CSD,2020-12-01,3,0,0,2,28,3,12,3620340,9859,0.30429049599350844,0,0.085510261,0.91448975
CLARKSTOWN CSD,2021-01-01,5,2,6,5,33,5,18,3620340,9859,0.5071508266558474,3.3097377e-4,0.48467797,0.51499104
CLARKSTOWN CSD,2021-02-01,2,1,1,3,35,6,19,3620340,9859,0.20286033066233897,0.010373781,0.98023427,0.0093919765
CLARKSTOWN CSD,2021-03-01,34,10,7,13,69,16,26,3620340,9859,3.4486256212597626,0.0081416648,0.98948365,0.0023746523
CLARKSTOWN CSD,2021-04-01,17,1,1,8,86,17,27,3620340,9859,1.7243128106298813,0.38895229,0.61104774,0
CLARKSTOWN CSD,2021-05-01,4,0,0,3,90,17,27,3620340,9859,0.40572066132467793,0.43513015,0.56486982,0
CLEVELAND HILL UFSD,2020-10-01,1,1,0,2,1,1,0,3607680,1565,0.6389776357827476,0,1,0
CLEVELAND HILL UFSD,2020-11-01,12,2,0,3,13,3,0,3607680,1565,7.667731629392971,0,0.71955252,0.28044748
CLEVELAND HILL UFSD,2020-12-01,5,1,1,3,18,4,1,3607680,1565,3.1948881789137378,0,0.18161356,0.81838644
CLEVELAND HILL UFSD,2021-01-01,10,1,0,3,28,5,1,3607680,1565,6.3897763578274756,0,1,0
CLEVELAND HILL UFSD,2021-02-01,2,1,0,3,30,6,1,3607680,1565,1.2779552715654952,0,1,0
CLEVELAND HILL UFSD,2021-03-01,5,0,0,3,35,6,1,3607680,1565,3.1948881789137378,0,1,0
CLEVELAND HILL UFSD,2021-04-01,13,1,3,3,48,7,4,3607680,1565,8.30670926517572,0,1,0
CLEVELAND HILL UFSD,2021-05-01,3,0,0,2,51,7,4,3607680,1565,1.9169329073482428,0.67802924,0.32197073,0
CLEVELAND HILL UFSD,2021-06-01,1,0,0,1,52,7,4,3607680,1565,0.6389776357827476,0.70524383,0.29475614,0
CLIFTON-FINE CSD,2020-12-01,1,0,3,2,1,0,3,3607710,318,3.1446540880503147,0,0.56318772,0.43681228
CLIFTON-FINE CSD,2021-01-01,3,1,1,2,4,1,4,3607710,318,9.433962264150942,0,0.8594135,0.1405865
CLIFTON-FINE CSD,2021-02-01,1,0,0,1,5,1,4,3607710,318,3.1446540880503147,0,1,0
CLIFTON-FINE CSD,2021-03-01,5,0,0,2,10,1,4,3607710,318,15.723270440251572,0.80821246,0.19178756,0
CLIFTON-FINE CSD,2021-04-01,3,1,0,2,13,2,4,3607710,318,9.433962264150942,1,0,0
CLIFTON-FINE CSD,2021-05-01,3,0,2,1,16,2,6,3607710,318,9.433962264150942,1,0,0
CLINTON CSD,2020-10-01,4,2,0,2,4,2,0,3607770,1410,2.8368794326241136,0,1,0
CLINTON CSD,2020-11-01,5,1,0,3,9,3,0,3607770,1410,3.5460992907801416,0,1,0
CLINTON CSD,2020-12-01,12,3,0,3,21,6,0,3607770,1410,8.51063829787234,0,0.34782609,0.65217394
CLINTON CSD,2021-01-01,36,5,6,3,57,11,6,3607770,1410,25.53191489361702,0,0,1
CLINTON CSD,2021-02-01,1,1,0,1,58,12,6,3607770,1410,0.7092198581560284,0,0.28645253,0.71354747
CLINTON CSD,2021-03-01,0,1,0,1,58,13,6,3607770,1410,0,0,1,0
