District.Name,Month,NewCasesStudents,NewCasesTeachers,NewCasesStaff,num.report.school,AccuCasesStudents,AccuCasesTeachers,AccuCasesStaff,NCESDistrictID,pop.5.17,Norm.New.Stud,share_inperson,share_hybrid,share_virtual
BEMUS POINT CSD,2020-10-01,1,3,0,2,1,4,0,3604530,712,1.4044943820224718,0.40274599,0.35780087,0.23945315
BEMUS POINT CSD,2020-11-01,7,2,2,2,8,6,2,3604530,712,9.831460674157302,0.31436744,0.43729082,0.24834175
BEMUS POINT CSD,2020-12-01,12,2,1,2,20,8,3,3604530,712,16.853932584269664,0.39911723,0.60088277,0
BEMUS POINT CSD,2021-01-01,16,6,1,2,36,14,4,3604530,712,22.47191011235955,0.30609253,0.46775985,0.22614762
BEMUS POINT CSD,2021-02-01,3,0,1,2,39,14,5,3604530,712,4.213483146067416,0.39940357,0.60059643,0
BEMUS POINT CSD,2021-04-01,3,0,0,1,42,14,5,3604530,712,4.213483146067416,0.4074463,0.59255368,0
BEMUS POINT CSD,2021-05-01,1,0,1,2,43,14,6,3604530,712,1.4044943820224718,0.42269504,0.57730496,0
BERLIN CSD,2020-11-01,1,0,0,1,1,0,0,3604620,955,1.0471204188481678,0,1,0
BERLIN CSD,2020-12-01,3,0,0,1,4,0,0,3604620,955,3.141361256544503,0,1,0
BERLIN CSD,2021-01-01,2,1,1,2,6,1,1,3604620,955,2.0942408376963355,0,1,0
BERLIN CSD,2021-02-01,1,0,0,1,7,1,1,3604620,955,1.0471204188481678,0,1,0
BERLIN CSD,2021-03-01,1,0,1,1,8,1,2,3604620,955,1.0471204188481678,0,1,0
BERLIN CSD,2021-04-01,1,0,1,2,9,1,3,3604620,955,1.0471204188481678,0,1,0
BERNE-KNOX-WESTERLO CSD,2020-11-01,1,0,0,1,1,0,0,3604650,986,1.0141987829614605,0.50949192,0.49050811,0
BERNE-KNOX-WESTERLO CSD,2020-12-01,1,0,2,2,2,0,2,3604650,986,1.0141987829614605,0.50554019,0.49445984,0
BERNE-KNOX-WESTERLO CSD,2021-01-01,5,6,6,2,7,6,8,3604650,986,5.070993914807302,0.50554019,0.49445984,0
BERNE-KNOX-WESTERLO CSD,2021-02-01,1,1,1,1,8,7,9,3604650,986,1.0141987829614605,0.50554019,0.49445984,0
BERNE-KNOX-WESTERLO CSD,2021-03-01,6,0,0,2,14,7,9,3604650,986,6.085192697768763,0.50554019,0.49445984,0
BERNE-KNOX-WESTERLO CSD,2021-04-01,0,0,0,2,14,7,9,3604650,986,0,0.50554019,0.49445984,0
BETHLEHEM CSD,2020-09-01,1,0,0,1,1,0,0,3604710,5055,0.19782393669634024,0.15950531,0.55918449,0.2813102
BETHLEHEM CSD,2020-10-01,7,0,0,1,8,0,0,3604710,5055,1.3847675568743818,0.089423545,0.91057646,0
BETHLEHEM CSD,2020-11-01,16,3,0,5,24,3,0,3604710,5055,3.165182987141444,0,1,0
BETHLEHEM CSD,2020-12-01,38,5,10,7,62,8,10,3604710,5055,7.51730959446093,0,0.91106093,0.088939048
BETHLEHEM CSD,2021-01-01,63,12,4,7,125,20,14,3604710,5055,12.462908011869436,0.074397609,0.7224533,0.20314907
BETHLEHEM CSD,2021-02-01,28,1,2,7,153,21,16,3604710,5055,5.539070227497527,0.1054341,0.89456588,0
BETHLEHEM CSD,2021-03-01,15,1,0,5,168,22,16,3604710,5055,2.967359050445104,0.10623348,0.89376652,0
BETHLEHEM CSD,2021-04-01,11,0,0,5,179,22,16,3604710,5055,2.1760633036597428,0.10656641,0.89343357,0
BETHLEHEM CSD,2021-05-01,4,0,0,4,183,22,16,3604710,5055,0.791295746785361,0.1066,0.89340001,0
BETHLEHEM CSD,2021-06-01,6,0,0,3,189,22,16,3604710,5055,1.1869436201780414,0.10667626,0.89332372,0
BETHPAGE UFSD,2020-10-01,2,0,1,3,2,0,1,3604740,2997,0.6673340006673341,1,0,0
BETHPAGE UFSD,2020-11-01,8,2,1,4,10,2,2,3604740,2997,2.6693360026693362,1,0,0
BETHPAGE UFSD,2020-12-01,18,6,1,5,28,8,3,3604740,2997,6.006006006006006,1,0,0
BETHPAGE UFSD,2021-01-01,69,12,14,5,97,20,17,3604740,2997,23.023023023023026,1,0,0
BETHPAGE UFSD,2021-02-01,46,1,0,5,143,21,17,3604740,2997,15.34868201534868,1,0,0
BETHPAGE UFSD,2021-03-01,38,1,6,4,181,22,23,3604740,2997,12.679346012679346,1,0,0
BETHPAGE UFSD,2021-04-01,38,1,1,5,219,23,24,3604740,2997,12.679346012679346,1,0,0
BETHPAGE UFSD,2021-05-01,1,0,2,2,220,23,26,3604740,2997,0.33366700033366703,1,0,0
BINGHAMTON CITY SD,2020-09-01,0,1,4,4,0,1,4,3604870,5814,0,0,0,1
BINGHAMTON CITY SD,2020-10-01,26,4,6,10,26,5,10,3604870,5814,4.471964224286206,0,0,1
BINGHAMTON CITY SD,2020-11-01,19,2,4,10,45,7,14,3604870,5814,3.2679738562091503,0,0.9704985,0.029501494
BINGHAMTON CITY SD,2020-12-01,24,5,9,10,69,12,23,3604870,5814,4.127966976264189,0,0.5276069,0.47239307
BINGHAMTON CITY SD,2021-01-01,50,19,15,10,119,31,38,3604870,5814,8.599931200550396,0,0.032134842,0.96786517
BINGHAMTON CITY SD,2021-02-01,25,1,2,10,144,32,40,3604870,5814,4.299965600275198,0,1,0
BINGHAMTON CITY SD,2021-03-01,17,2,0,10,161,34,40,3604870,5814,2.923976608187134,0,1,0
BINGHAMTON CITY SD,2021-04-01,32,0,3,10,193,34,43,3604870,5814,5.503955968352253,0,1,0
BINGHAMTON CITY SD,2021-05-01,8,1,1,10,201,35,44,3604870,5814,1.3759889920880632,0,1,0
BINGHAMTON CITY SD,2021-06-01,2,0,0,10,203,35,44,3604870,5814,0.3439972480220158,0,1,0
BINGHAMTON CITY SD,2021-07-01,1,0,0,3,204,35,44,3604870,5814,0.1719986240110079,NA,NA,NA
BINGHAMTON CITY SD,2021-08-01,0,0,0,2,204,35,44,3604870,5814,0,NA,NA,NA
BLIND BROOK-RYE UFSD,2020-10-01,3,0,0,2,3,0,0,3624630,1426,2.1037868162692845,0,0.92668819,0.073311791
BLIND BROOK-RYE UFSD,2020-11-01,1,2,0,1,4,2,0,3624630,1426,0.7012622720897616,0,1,0
BLIND BROOK-RYE UFSD,2020-12-01,19,3,0,3,23,5,0,3624630,1426,13.32398316970547,0,0.7065075,0.29349247
BLIND BROOK-RYE UFSD,2021-01-01,9,1,0,3,32,6,0,3624630,1426,6.311360448807854,0,0.94598329,0.054016687
BLIND BROOK-RYE UFSD,2021-02-01,9,2,1,3,41,8,1,3624630,1426,6.311360448807854,0,0.88029003,0.11970999
BLIND BROOK-RYE UFSD,2021-03-01,14,1,3,3,55,9,4,3624630,1426,9.817671809256662,0,1,0
BLIND BROOK-RYE UFSD,2021-04-01,17,2,0,3,72,11,4,3624630,1426,11.921458625525947,0.15588972,0.84411025,0
BLIND BROOK-RYE UFSD,2021-05-01,3,0,0,1,75,11,4,3624630,1426,2.1037868162692845,0.8285957,0.17140432,0
BLIND BROOK-RYE UFSD,2021-06-01,1,0,0,1,76,11,4,3624630,1426,0.7012622720897616,1,0,0
BOLIVAR-RICHBURG CSD,2020-09-01,2,0,0,2,2,0,0,3600012,708,2.824858757062147,0.45492649,0.54507351,0
BOLIVAR-RICHBURG CSD,2020-10-01,2,1,0,1,4,1,0,3600012,708,2.824858757062147,0.45113775,0.54886222,0
BOLIVAR-RICHBURG CSD,2020-11-01,1,0,0,1,5,1,0,3600012,708,1.4124293785310735,0.45412111,0.54587889,0
BOLIVAR-RICHBURG CSD,2020-12-01,2,2,0,2,7,3,0,3600012,708,2.824858757062147,0.4556213,0.5443787,0
BOLIVAR-RICHBURG CSD,2021-01-01,6,5,2,2,13,8,2,3600012,708,8.474576271186441,0.449002,0.55099797,0
BOLIVAR-RICHBURG CSD,2021-02-01,0,0,2,2,13,8,4,3600012,708,0,0.44715703,0.55284297,0
BOLIVAR-RICHBURG CSD,2021-03-01,0,0,0,2,13,8,4,3600012,708,0,0.44687045,0.55312955,0
BOLIVAR-RICHBURG CSD,2021-04-01,2,0,1,1,15,8,5,3600012,708,2.824858757062147,0.44643724,0.55356276,0
BOLIVAR-RICHBURG CSD,2021-05-01,1,0,0,2,16,8,5,3600012,708,1.4124293785310735,0.44622093,0.55377907,0
BOLIVAR-RICHBURG CSD,2021-06-01,0,0,0,2,16,8,5,3600012,708,0,0.44622093,0.55377907,0
BOLTON CSD,2020-12-01,1,0,1,1,1,0,1,3605010,222,4.504504504504505,1,0,0
BOLTON CSD,2021-01-01,1,2,0,1,2,2,1,3605010,222,4.504504504504505,1,0,0
BOLTON CSD,2021-03-01,1,0,0,1,3,2,1,3605010,222,4.504504504504505,1,0,0
BOLTON CSD,2021-05-01,2,0,0,1,5,2,1,3605010,222,9.00900900900901,1,0,0
BRADFORD CSD,2020-10-01,3,0,0,1,3,0,0,3605220,285,10.526315789473683,1,0,0
BRADFORD CSD,2020-12-01,2,1,3,1,5,1,3,3605220,285,7.017543859649123,0.56521738,0.43478259,0
BRADFORD CSD,2021-01-01,2,1,0,1,7,2,3,3605220,285,7.017543859649123,0.93548387,0.064516127,0
BRASHER FALLS CSD,2020-09-01,3,0,0,2,3,0,0,3627960,1035,2.898550724637681,0,1,0
BRASHER FALLS CSD,2020-10-01,1,0,0,1,4,0,0,3627960,1035,0.966183574879227,0,1,0
BRASHER FALLS CSD,2020-11-01,2,1,0,2,6,1,0,3627960,1035,1.932367149758454,0,1,0
BRASHER FALLS CSD,2020-12-01,4,2,0,2,10,3,0,3627960,1035,3.864734299516908,0,1,0
BRASHER FALLS CSD,2021-01-01,10,3,0,3,20,6,0,3627960,1035,9.66183574879227,0,1,0
BRASHER FALLS CSD,2021-02-01,7,2,0,2,27,8,0,3627960,1035,6.76328502415459,0,1,0
BRASHER FALLS CSD,2021-03-01,10,0,1,3,37,8,1,3627960,1035,9.66183574879227,0,1,0
BRASHER FALLS CSD,2021-04-01,5,0,2,3,42,8,3,3627960,1035,4.830917874396135,0,1,0
BRASHER FALLS CSD,2021-05-01,3,0,0,2,45,8,3,3627960,1035,2.898550724637681,0,1,0
BRENTWOOD UFSD,2020-09-01,5,1,0,3,5,1,0,3605280,13877,0.3603084240109534,0.02762039,0.97237962,0
BRENTWOOD UFSD,2020-10-01,24,0,1,12,29,1,1,3605280,13877,1.729480435252576,0.028841008,0.85883963,0.11231937
BRENTWOOD UFSD,2020-11-01,38,13,6,14,67,14,7,3605280,13877,2.7383440224832456,0.029428715,0.97057128,0
BRENTWOOD UFSD,2020-12-01,101,26,25,17,168,40,32,3605280,13877,7.278230165021258,0.029989203,0.97001082,0
BRENTWOOD UFSD,2021-01-01,230,50,21,16,398,90,53,3605280,13877,16.574187504503858,0.023720399,0.91084725,0.065432325
BRENTWOOD UFSD,2021-02-01,105,14,8,17,503,104,61,3605280,13877,7.56647690423002,0.030426409,0.96957362,0
BRENTWOOD UFSD,2021-03-01,67,27,10,16,570,131,71,3605280,13877,4.828132881746775,0.03796456,0.96203542,0
BRENTWOOD UFSD,2021-04-01,71,11,1,15,641,142,72,3605280,13877,5.116379620955538,0.030857248,0.96914274,0
BRENTWOOD UFSD,2021-05-01,21,1,2,12,662,143,74,3605280,13877,1.5132953808460043,0.030690314,0.96930969,0
BRENTWOOD UFSD,2021-06-01,5,0,0,3,667,143,74,3605280,13877,0.3603084240109534,0.031178601,0.96882141,0
BRENTWOOD UFSD,2021-09-01,5,2,0,3,672,145,74,3605280,13877,0.3603084240109534,NA,NA,NA
BREWSTER CSD,2020-09-01,1,0,0,1,1,0,0,3605310,3151,0.31735956839098695,0,1,0
BREWSTER CSD,2020-10-01,10,0,0,4,11,0,0,3605310,3151,3.17359568390987,0,1,0
BREWSTER CSD,2020-11-01,33,2,1,4,44,2,1,3605310,3151,10.472865756902571,0,1,0
BREWSTER CSD,2020-12-01,22,4,5,4,66,6,6,3605310,3151,6.981910504601713,0,1,0
BREWSTER CSD,2021-01-01,38,5,3,4,104,11,9,3605310,3151,12.059663598857504,0,1,0
BREWSTER CSD,2021-02-01,9,0,0,4,113,11,9,3605310,3151,2.856236115518883,0,1,0
BREWSTER CSD,2021-03-01,23,3,7,4,136,14,16,3605310,3151,7.299270072992701,0.14523515,0.85476482,0
BREWSTER CSD,2021-04-01,35,0,1,4,171,14,17,3605310,3151,11.107584893684544,0.94079304,0.059206933,0
BREWSTER CSD,2021-05-01,3,0,0,2,174,14,17,3605310,3151,0.952078705172961,1,0,0
BREWSTER CSD,2021-06-01,1,0,0,1,175,14,17,3605310,3151,0.31735956839098695,1,0,0
BRIARCLIFF MANOR UFSD,2020-11-01,8,2,0,3,8,2,0,3605340,1545,5.17799352750809,0.38868526,0.61131471,0
BRIARCLIFF MANOR UFSD,2020-12-01,5,3,1,2,13,5,1,3605340,1545,3.236245954692557,0.38812301,0.61187696,0
BRIARCLIFF MANOR UFSD,2021-01-01,22,3,1,3,35,8,2,3605340,1545,14.23948220064725,0.38823023,0.61176974,0
BRIARCLIFF MANOR UFSD,2021-02-01,10,0,2,3,45,8,4,3605340,1545,6.472491909385114,0.38826388,0.61173612,0
BRIARCLIFF MANOR UFSD,2021-03-01,28,4,0,3,73,12,4,3605340,1545,18.12297734627832,0.3889299,0.6110701,0
BRIARCLIFF MANOR UFSD,2021-04-01,23,0,2,3,96,12,6,3605340,1545,14.88673139158576,0.3889299,0.6110701,0
BRIARCLIFF MANOR UFSD,2021-06-01,1,0,0,1,97,12,6,3605340,1545,0.6472491909385113,0.38904473,0.61095524,0
BRIDGEHAMPTON UFSD,2020-10-01,1,0,0,1,1,0,0,3605370,145,6.896551724137931,0,1,0
BRIDGEHAMPTON UFSD,2020-11-01,1,1,0,1,2,1,0,3605370,145,6.896551724137931,0,1,0
BRIDGEHAMPTON UFSD,2020-12-01,6,1,2,1,8,2,2,3605370,145,41.37931034482759,0,1,0
BRIDGEHAMPTON UFSD,2021-01-01,11,0,4,1,19,2,6,3605370,145,75.86206896551724,0,1,0
BRIDGEHAMPTON UFSD,2021-02-01,1,1,1,1,20,3,7,3605370,145,6.896551724137931,0,1,0
BRIDGEHAMPTON UFSD,2021-03-01,3,0,0,1,23,3,7,3605370,145,20.689655172413794,0,1,0
BRIGHTON CSD,2020-10-01,1,0,0,1,1,0,0,3605460,3560,0.2808988764044944,0,1,0
BRIGHTON CSD,2020-11-01,14,5,3,4,15,5,3,3605460,3560,3.9325842696629216,0,1,0
BRIGHTON CSD,2020-12-01,22,8,1,4,37,13,4,3605460,3560,6.179775280898877,0,1,0
BRIGHTON CSD,2021-01-01,54,10,4,4,91,23,8,3605460,3560,15.168539325842696,0,1,0
BRIGHTON CSD,2021-02-01,18,3,0,4,109,26,8,3605460,3560,5.056179775280898,0,1,0
BRIGHTON CSD,2021-03-01,11,1,0,4,120,27,8,3605460,3560,3.0898876404494384,0,1,0
BRIGHTON CSD,2021-04-01,48,1,1,4,168,28,9,3605460,3560,13.483146067415731,0,1,0
BRIGHTON CSD,2021-05-01,8,1,0,3,176,29,9,3605460,3560,2.247191011235955,0,1,0
BRIGHTON CSD,2021-06-01,2,0,0,2,178,29,9,3605460,3560,0.5617977528089888,0,1,0
BRIGHTON CSD,2021-09-01,1,0,2,2,179,29,11,3605460,3560,0.2808988764044944,NA,NA,NA
BROADALBIN-PERTH CSD,2020-10-01,1,1,0,1,1,1,0,3600005,1712,0.5841121495327103,0,1,0
BROADALBIN-PERTH CSD,2020-11-01,2,0,3,2,3,1,3,3600005,1712,1.1682242990654206,0,0.90596253,0.094037481
BROADALBIN-PERTH CSD,2020-12-01,8,2,2,2,11,3,5,3600005,1712,4.672897196261682,0,0.13043478,0.86956519
BROADALBIN-PERTH CSD,2021-01-01,13,2,5,2,24,5,10,3600005,1712,7.593457943925234,0.36930779,0.23033336,0.40035886
BROADALBIN-PERTH CSD,2021-02-01,16,2,3,2,40,7,13,3600005,1712,9.345794392523365,0.52091926,0.47908074,0
BROADALBIN-PERTH CSD,2021-03-01,18,1,2,2,58,8,15,3600005,1712,10.514018691588785,0.52091926,0.47908074,0
BROADALBIN-PERTH CSD,2021-04-01,15,1,1,2,73,9,16,3600005,1712,8.761682242990654,0.52091926,0.47908074,0
BROADALBIN-PERTH CSD,2021-05-01,6,1,1,2,79,10,17,3600005,1712,3.5046728971962615,0.52091926,0.47908074,0
BROCKPORT CSD,2020-09-01,1,1,0,1,1,1,0,3605580,3795,0.26350461133069825,0,1,0
BROCKPORT CSD,2020-10-01,3,2,0,2,4,3,0,3605580,3795,0.7905138339920948,0,1,0
BROCKPORT CSD,2020-11-01,11,8,3,5,15,11,3,3605580,3795,2.898550724637681,0,1,0
BROCKPORT CSD,2020-12-01,31,4,7,5,46,15,10,3605580,3795,8.168642951251647,0,1,0
BROCKPORT CSD,2021-01-01,45,6,5,5,91,21,15,3605580,3795,11.857707509881422,0,1,0
BROCKPORT CSD,2021-02-01,18,2,3,4,109,23,18,3605580,3795,4.743083003952569,0,1,0
BROCKPORT CSD,2021-03-01,15,3,1,5,124,26,19,3605580,3795,3.952569169960474,0,1,0
BROCKPORT CSD,2021-04-01,20,1,2,5,144,27,21,3605580,3795,5.270092226613966,0,1,0
BROCKPORT CSD,2021-05-01,17,2,0,5,161,29,21,3605580,3795,4.47957839262187,0,1,0
BROCKPORT CSD,2021-06-01,5,0,0,2,166,29,21,3605580,3795,1.3175230566534915,0,1,0
BROCTON CSD,2020-10-01,1,0,0,1,1,0,0,3605610,635,1.574803149606299,0,1,0
BROCTON CSD,2020-11-01,2,0,1,1,3,0,1,3605610,635,3.149606299212598,0,1,0
BROCTON CSD,2020-12-01,1,0,1,1,4,0,2,3605610,635,1.574803149606299,0,1,0
BROCTON CSD,2021-01-01,9,6,1,2,13,6,3,3605610,635,14.173228346456693,0,1,0
BROCTON CSD,2021-02-01,1,0,0,1,14,6,3,3605610,635,1.574803149606299,0,1,0
BROCTON CSD,2021-03-01,8,0,1,2,22,6,4,3605610,635,12.598425196850393,0,1,0
BROCTON CSD,2021-04-01,4,0,2,1,26,6,6,3605610,635,6.299212598425196,0,1,0
BROCTON CSD,2021-05-01,4,0,1,2,30,6,7,3605610,635,6.299212598425196,0,1,0
BRONXVILLE UFSD,2020-11-01,11,2,3,3,11,2,3,3605640,1421,7.741027445460943,0.772744,0,0.22725599
BRONXVILLE UFSD,2020-12-01,8,2,1,3,19,4,4,3605640,1421,5.629838142153413,0.95911604,0,0.040883977
