"District.Name","Month","NewCasesStudents","NewCasesTeachers","NewCasesStaff","num.report.school","AccuCasesStudents","AccuCasesTeachers","AccuCasesStaff","NCESDistrictID","pop.5.17","Norm.New.Stud","share_inperson","share_hybrid","share_virtual","id_name","year","pupil_count_tot","per_federal_exp","per_state_local_exp","per_fed_state_local_exp","num_princ","num_teach","num_counselors","num_social","per_turn_all","per_turn_five_yrs","per_free_lunch","per_reduced_lunch","ELA_per_prof.18","math_per_prof.18","entity_name","student_teacher_ratio","district_name","report_school_year","Princ_Sal","Teacher_Sal","LaggedStudCases"
"AKRON CSD","2020-11-01",1,4,1,2,4,4,2,3602430,1499,0.66711140760507,0,0.97154093,0.028459053,142101040000,2021,1262,1414,17728,19143,3,116,4,2,8,0,38,4,90,94,"AKRON CSD",10.8793103448276,"AKRON CSD","2020-21",116171.25,72255.05263,2
"AKRON CSD","2020-12-01",5,3,1,3,9,7,3,3602430,1499,3.33555703802535,0,0.30052614,0.69947386,142101040000,2021,1262,1414,17728,19143,3,116,4,2,8,0,38,4,90,94,"AKRON CSD",10.8793103448276,"AKRON CSD","2020-21",116171.25,72255.05263,1
"AKRON CSD","2021-01-01",20,2,3,3,29,9,6,3602430,1499,13.3422281521014,0,0.9353621,0.064637907,142101040000,2021,1262,1414,17728,19143,3,116,4,2,8,0,38,4,90,94,"AKRON CSD",10.8793103448276,"AKRON CSD","2020-21",116171.25,72255.05263,5
"AKRON CSD","2021-02-01",7,0,1,3,36,9,7,3602430,1499,4.66977985323549,0,1,0,142101040000,2021,1262,1414,17728,19143,3,116,4,2,8,0,38,4,90,94,"AKRON CSD",10.8793103448276,"AKRON CSD","2020-21",116171.25,72255.05263,20
"AKRON CSD","2021-03-01",6,0,1,2,42,9,8,3602430,1499,4.00266844563042,0,1,0,142101040000,2021,1262,1414,17728,19143,3,116,4,2,8,0,38,4,90,94,"AKRON CSD",10.8793103448276,"AKRON CSD","2020-21",116171.25,72255.05263,7
"AKRON CSD","2021-04-01",8,3,0,3,50,12,8,3602430,1499,5.33689126084056,0,1,0,142101040000,2021,1262,1414,17728,19143,3,116,4,2,8,0,38,4,90,94,"AKRON CSD",10.8793103448276,"AKRON CSD","2020-21",116171.25,72255.05263,6
"AKRON CSD","2021-05-01",2,0,0,2,52,12,8,3602430,1499,1.33422281521014,0,1,0,142101040000,2021,1262,1414,17728,19143,3,116,4,2,8,0,38,4,90,94,"AKRON CSD",10.8793103448276,"AKRON CSD","2020-21",116171.25,72255.05263,8
"AKRON CSD","2021-06-01",1,0,0,1,53,12,8,3602430,1499,0.66711140760507,0,1,0,142101040000,2021,1262,1414,17728,19143,3,116,4,2,8,0,38,4,90,94,"AKRON CSD",10.8793103448276,"AKRON CSD","2020-21",116171.25,72255.05263,2
"AKRON CSD","2021-09-01",2,0,0,1,55,12,8,3602430,1499,1.33422281521014,NA,NA,NA,142101040000,2021,1262,1414,17728,19143,3,116,4,2,8,0,38,4,90,94,"AKRON CSD",10.8793103448276,"AKRON CSD","2020-21",116171.25,72255.05263,1
"ALBANY CITY SD","2020-11-01",23,3,3,10,30,7,8,3602460,10877,2.11455364530661,0,1,0,10100010000,2021,8266,1812,20015,21827,16,645,18,31,16,31,69,0,73,70,"ALBANY CITY SD",12.815503875969,"ALBANY CITY SD","2020-21",104867.35,81646.82907,7
"ALBANY CITY SD","2020-12-01",21,10,11,15,51,17,19,3602460,10877,1.93067941527995,0,1,0,10100010000,2021,8266,1812,20015,21827,16,645,18,31,16,31,69,0,73,70,"ALBANY CITY SD",12.815503875969,"ALBANY CITY SD","2020-21",104867.35,81646.82907,23
"ALBANY CITY SD","2021-01-01",82,28,28,16,133,45,47,3602460,10877,7.53884343109313,0,0.78934872,0.21065128,10100010000,2021,8266,1812,20015,21827,16,645,18,31,16,31,69,0,73,70,"ALBANY CITY SD",12.815503875969,"ALBANY CITY SD","2020-21",104867.35,81646.82907,21
"ALBANY CITY SD","2021-02-01",26,5,8,16,159,50,55,3602460,10877,2.3903649903466,0,0.99267113,0.0073288805,10100010000,2021,8266,1812,20015,21827,16,645,18,31,16,31,69,0,73,70,"ALBANY CITY SD",12.815503875969,"ALBANY CITY SD","2020-21",104867.35,81646.82907,82
"ALBANY CITY SD","2021-03-01",47,4,8,16,206,54,63,3602460,10877,4.32104440562655,0,1,0,10100010000,2021,8266,1812,20015,21827,16,645,18,31,16,31,69,0,73,70,"ALBANY CITY SD",12.815503875969,"ALBANY CITY SD","2020-21",104867.35,81646.82907,26
"ALBANY CITY SD","2021-04-01",33,2,2,15,239,56,65,3602460,10877,3.03392479543992,0,1,0,10100010000,2021,8266,1812,20015,21827,16,645,18,31,16,31,69,0,73,70,"ALBANY CITY SD",12.815503875969,"ALBANY CITY SD","2020-21",104867.35,81646.82907,47
"ALBANY CITY SD","2021-05-01",17,0,1,15,256,56,66,3602460,10877,1.56293095522662,0,1,0,10100010000,2021,8266,1812,20015,21827,16,645,18,31,16,31,69,0,73,70,"ALBANY CITY SD",12.815503875969,"ALBANY CITY SD","2020-21",104867.35,81646.82907,33
"ALBANY CITY SD","2021-06-01",1,0,1,14,257,56,67,3602460,10877,0.0919371150133309,0,1,0,10100010000,2021,8266,1812,20015,21827,16,645,18,31,16,31,69,0,73,70,"ALBANY CITY SD",12.815503875969,"ALBANY CITY SD","2020-21",104867.35,81646.82907,17
"ALBION CSD","2020-09-01",1,0,0,1,1,0,0,3602520,1791,0.558347292015634,0,1,0,450101060000,2021,1783,1028,14954,15982,2,133,7,0,9,10,54,5,81,94,"ALBION CSD",13.406015037594,"ALBION CSD","2020-21",85375,68843.04511,NA
"ALBION CSD","2020-11-01",10,0,2,3,19,0,2,3602520,1791,5.58347292015634,0,1,0,450101060000,2021,1783,1028,14954,15982,2,133,7,0,9,10,54,5,81,94,"ALBION CSD",13.406015037594,"ALBION CSD","2020-21",85375,68843.04511,8
"ALBION CSD","2020-12-01",8,3,5,3,27,3,7,3602520,1791,4.46677833612507,0,1,0,450101060000,2021,1783,1028,14954,15982,2,133,7,0,9,10,54,5,81,94,"ALBION CSD",13.406015037594,"ALBION CSD","2020-21",85375,68843.04511,10
"ALBION CSD","2021-01-01",12,3,6,3,39,6,13,3602520,1791,6.7001675041876,0,1,0,450101060000,2021,1783,1028,14954,15982,2,133,7,0,9,10,54,5,81,94,"ALBION CSD",13.406015037594,"ALBION CSD","2020-21",85375,68843.04511,8
"ALBION CSD","2021-02-01",13,4,1,3,52,10,14,3602520,1791,7.25851479620324,0,1,0,450101060000,2021,1783,1028,14954,15982,2,133,7,0,9,10,54,5,81,94,"ALBION CSD",13.406015037594,"ALBION CSD","2020-21",85375,68843.04511,12
"ALBION CSD","2021-03-01",4,0,0,1,56,10,14,3602520,1791,2.23338916806253,0,1,0,450101060000,2021,1783,1028,14954,15982,2,133,7,0,9,10,54,5,81,94,"ALBION CSD",13.406015037594,"ALBION CSD","2020-21",85375,68843.04511,13
"ALBION CSD","2021-04-01",19,0,1,3,75,10,15,3602520,1791,10.608598548297,0,1,0,450101060000,2021,1783,1028,14954,15982,2,133,7,0,9,10,54,5,81,94,"ALBION CSD",13.406015037594,"ALBION CSD","2020-21",85375,68843.04511,4
"ALBION CSD","2021-05-01",11,1,0,2,86,11,15,3602520,1791,6.14182021217197,0,1,0,450101060000,2021,1783,1028,14954,15982,2,133,7,0,9,10,54,5,81,94,"ALBION CSD",13.406015037594,"ALBION CSD","2020-21",85375,68843.04511,19
"ALDEN CSD","2020-09-01",1,0,0,1,1,0,0,3602550,1813,0.551571980143409,0,1,0,140101060000,2021,1476,762,17315,18077,4,115,6,1,10,40,23,5,91,95,"ALDEN CSD",12.8347826086957,"ALDEN CSD","2020-21",108387.4,81091.13043,NA
"ALDEN CSD","2020-11-01",5,1,0,3,7,1,0,3602550,1813,2.75785990071704,0,1,0,140101060000,2021,1476,762,17315,18077,4,115,6,1,10,40,23,5,91,95,"ALDEN CSD",12.8347826086957,"ALDEN CSD","2020-21",108387.4,81091.13043,1
"ALDEN CSD","2020-12-01",8,0,2,4,15,1,2,3602550,1813,4.41257584114727,0,1,0,140101060000,2021,1476,762,17315,18077,4,115,6,1,10,40,23,5,91,95,"ALDEN CSD",12.8347826086957,"ALDEN CSD","2020-21",108387.4,81091.13043,5
"ALDEN CSD","2021-01-01",16,4,1,4,31,5,3,3602550,1813,8.82515168229454,0,1,0,140101060000,2021,1476,762,17315,18077,4,115,6,1,10,40,23,5,91,95,"ALDEN CSD",12.8347826086957,"ALDEN CSD","2020-21",108387.4,81091.13043,8
"ALDEN CSD","2021-02-01",2,0,0,2,33,5,3,3602550,1813,1.10314396028682,0,1,0,140101060000,2021,1476,762,17315,18077,4,115,6,1,10,40,23,5,91,95,"ALDEN CSD",12.8347826086957,"ALDEN CSD","2020-21",108387.4,81091.13043,16
"ALDEN CSD","2021-03-01",9,0,0,3,42,5,3,3602550,1813,4.96414782129068,0,1,0,140101060000,2021,1476,762,17315,18077,4,115,6,1,10,40,23,5,91,95,"ALDEN CSD",12.8347826086957,"ALDEN CSD","2020-21",108387.4,81091.13043,2
"ALDEN CSD","2021-04-01",17,2,0,4,59,7,3,3602550,1813,9.37672366243795,0.089107633,0.91089237,0,140101060000,2021,1476,762,17315,18077,4,115,6,1,10,40,23,5,91,95,"ALDEN CSD",12.8347826086957,"ALDEN CSD","2020-21",108387.4,81091.13043,9
"ALDEN CSD","2021-05-01",5,0,0,3,64,7,3,3602550,1813,2.75785990071704,0.44969618,0.55030382,0,140101060000,2021,1476,762,17315,18077,4,115,6,1,10,40,23,5,91,95,"ALDEN CSD",12.8347826086957,"ALDEN CSD","2020-21",108387.4,81091.13043,17
"ALEXANDER CSD","2020-11-01",6,3,0,1,6,3,0,3602580,829,7.23763570566948,0,1,0,180202040000,2021,737,839,19275,20114,1,78,2,0,5,10,28,4,87,90,"ALEXANDER CSD",9.44871794871795,"ALEXANDER CSD","2020-21",99388,66578.89744,NA
"ALEXANDER CSD","2020-12-01",10,1,3,2,16,4,3,3602580,829,12.0627261761158,0,0.56997401,0.43002599,180202040000,2021,737,839,19275,20114,1,78,2,0,5,10,28,4,87,90,"ALEXANDER CSD",9.44871794871795,"ALEXANDER CSD","2020-21",99388,66578.89744,6
"ALEXANDER CSD","2021-01-01",4,2,2,2,20,6,5,3602580,829,4.82509047044632,0,0.7114709,0.2885291,180202040000,2021,737,839,19275,20114,1,78,2,0,5,10,28,4,87,90,"ALEXANDER CSD",9.44871794871795,"ALEXANDER CSD","2020-21",99388,66578.89744,10
"ALEXANDER CSD","2021-02-01",12,0,0,2,32,6,5,3602580,829,14.475271411339,0,1,0,180202040000,2021,737,839,19275,20114,1,78,2,0,5,10,28,4,87,90,"ALEXANDER CSD",9.44871794871795,"ALEXANDER CSD","2020-21",99388,66578.89744,4
"ALEXANDER CSD","2021-03-01",2,0,0,2,34,6,5,3602580,829,2.41254523522316,0,1,0,180202040000,2021,737,839,19275,20114,1,78,2,0,5,10,28,4,87,90,"ALEXANDER CSD",9.44871794871795,"ALEXANDER CSD","2020-21",99388,66578.89744,12
"ALEXANDER CSD","2021-04-01",2,0,0,2,36,6,5,3602580,829,2.41254523522316,0,1,0,180202040000,2021,737,839,19275,20114,1,78,2,0,5,10,28,4,87,90,"ALEXANDER CSD",9.44871794871795,"ALEXANDER CSD","2020-21",99388,66578.89744,2
"ALEXANDER CSD","2021-05-01",2,0,0,1,38,6,5,3602580,829,2.41254523522316,0,1,0,180202040000,2021,737,839,19275,20114,1,78,2,0,5,10,28,4,87,90,"ALEXANDER CSD",9.44871794871795,"ALEXANDER CSD","2020-21",99388,66578.89744,2
"ALEXANDRIA CSD","2020-12-01",1,0,1,1,1,0,1,3602670,558,1.7921146953405,0.51440328,0.48559672,0,220202040000,2021,474,983,21566,22549,2,50,2,0,14,19,44,5,98,96,"ALEXANDRIA CSD",9.48,"ALEXANDRIA CSD","2020-21",91909,56149,NA
"ALEXANDRIA CSD","2021-01-01",8,5,2,2,9,5,3,3602670,558,14.336917562724,0.52126688,0.47873315,0,220202040000,2021,474,983,21566,22549,2,50,2,0,14,19,44,5,98,96,"ALEXANDRIA CSD",9.48,"ALEXANDRIA CSD","2020-21",91909,56149,1
"ALEXANDRIA CSD","2021-02-01",2,2,0,2,11,7,3,3602670,558,3.584229390681,0.54449928,0.45550075,0,220202040000,2021,474,983,21566,22549,2,50,2,0,14,19,44,5,98,96,"ALEXANDRIA CSD",9.48,"ALEXANDRIA CSD","2020-21",91909,56149,8
"ALEXANDRIA CSD","2021-05-01",1,0,0,1,12,7,3,3602670,558,1.7921146953405,1,0,0,220202040000,2021,474,983,21566,22549,2,50,2,0,14,19,44,5,98,96,"ALEXANDRIA CSD",9.48,"ALEXANDRIA CSD","2020-21",91909,56149,2
"ALFRED-ALMOND CSD","2020-09-01",0,0,1,1,0,0,1,3602700,570,0,0,1,0,20101040000,2021,575,649,18795,19444,2,55,2,0,14,15,27,1,94,94,"ALFRED-ALMOND CSD",10.4545454545455,"ALFRED-ALMOND CSD","2020-21",105392.5,58410.34545,NA
"ALFRED-ALMOND CSD","2020-11-01",0,0,2,1,2,0,3,3602700,570,0,0,1,0,20101040000,2021,575,649,18795,19444,2,55,2,0,14,15,27,1,94,94,"ALFRED-ALMOND CSD",10.4545454545455,"ALFRED-ALMOND CSD","2020-21",105392.5,58410.34545,2
"ALFRED-ALMOND CSD","2020-12-01",0,1,0,1,2,1,3,3602700,570,0,0,1,0,20101040000,2021,575,649,18795,19444,2,55,2,0,14,15,27,1,94,94,"ALFRED-ALMOND CSD",10.4545454545455,"ALFRED-ALMOND CSD","2020-21",105392.5,58410.34545,0
"ALFRED-ALMOND CSD","2021-01-01",5,0,2,1,7,1,5,3602700,570,8.7719298245614,0,1,0,20101040000,2021,575,649,18795,19444,2,55,2,0,14,15,27,1,94,94,"ALFRED-ALMOND CSD",10.4545454545455,"ALFRED-ALMOND CSD","2020-21",105392.5,58410.34545,0
"ALFRED-ALMOND CSD","2021-02-01",4,0,0,2,11,1,5,3602700,570,7.01754385964912,0,1,0,20101040000,2021,575,649,18795,19444,2,55,2,0,14,15,27,1,94,94,"ALFRED-ALMOND CSD",10.4545454545455,"ALFRED-ALMOND CSD","2020-21",105392.5,58410.34545,5
"ALFRED-ALMOND CSD","2021-03-01",1,0,0,1,12,1,5,3602700,570,1.75438596491228,0,1,0,20101040000,2021,575,649,18795,19444,2,55,2,0,14,15,27,1,94,94,"ALFRED-ALMOND CSD",10.4545454545455,"ALFRED-ALMOND CSD","2020-21",105392.5,58410.34545,4
"ALFRED-ALMOND CSD","2021-05-01",3,0,2,2,15,1,7,3602700,570,5.26315789473684,0,1,0,20101040000,2021,575,649,18795,19444,2,55,2,0,14,15,27,1,94,94,"ALFRED-ALMOND CSD",10.4545454545455,"ALFRED-ALMOND CSD","2020-21",105392.5,58410.34545,1
"ALFRED-ALMOND CSD","2021-06-01",1,0,0,1,16,1,7,3602700,570,1.75438596491228,0,1,0,20101040000,2021,575,649,18795,19444,2,55,2,0,14,15,27,1,94,94,"ALFRED-ALMOND CSD",10.4545454545455,"ALFRED-ALMOND CSD","2020-21",105392.5,58410.34545,3
"ALLEGANY-LIMESTONE CSD","2020-11-01",2,1,1,2,2,1,1,3600015,1197,1.67084377610693,0.45413262,0.50219798,0.043669391,40302060000,2021,1066,572,17045,17617,3,98,5,0,8,18,37,2,94,96,"ALLEGANY-LIMESTONE CSD",10.8775510204082,"ALLEGANY-LIMESTONE CSD","2020-21",101185.25,58948.7449,NA
"ALLEGANY-LIMESTONE CSD","2020-12-01",5,2,2,2,7,3,3,3600015,1197,4.17710944026734,0.25698811,0.11841221,0.6245997,40302060000,2021,1066,572,17045,17617,3,98,5,0,8,18,37,2,94,96,"ALLEGANY-LIMESTONE CSD",10.8775510204082,"ALLEGANY-LIMESTONE CSD","2020-21",101185.25,58948.7449,2
"ALLEGANY-LIMESTONE CSD","2021-01-01",0,3,1,2,7,6,4,3600015,1197,0,0.1174019,0.36649936,0.51609874,40302060000,2021,1066,572,17045,17617,3,98,5,0,8,18,37,2,94,96,"ALLEGANY-LIMESTONE CSD",10.8775510204082,"ALLEGANY-LIMESTONE CSD","2020-21",101185.25,58948.7449,5
"ALLEGANY-LIMESTONE CSD","2021-02-01",2,0,0,1,9,6,4,3600015,1197,1.67084377610693,0.45467833,0.5453217,0,40302060000,2021,1066,572,17045,17617,3,98,5,0,8,18,37,2,94,96,"ALLEGANY-LIMESTONE CSD",10.8775510204082,"ALLEGANY-LIMESTONE CSD","2020-21",101185.25,58948.7449,0
"ALLEGANY-LIMESTONE CSD","2021-03-01",7,1,3,2,16,7,7,3600015,1197,5.84795321637427,0.4548656,0.54513443,0,40302060000,2021,1066,572,17045,17617,3,98,5,0,8,18,37,2,94,96,"ALLEGANY-LIMESTONE CSD",10.8775510204082,"ALLEGANY-LIMESTONE CSD","2020-21",101185.25,58948.7449,2
"ALLEGANY-LIMESTONE CSD","2021-04-01",1,0,0,1,17,7,7,3600015,1197,0.835421888053467,0.45495906,0.54504097,0,40302060000,2021,1066,572,17045,17617,3,98,5,0,8,18,37,2,94,96,"ALLEGANY-LIMESTONE CSD",10.8775510204082,"ALLEGANY-LIMESTONE CSD","2020-21",101185.25,58948.7449,7
"ALLEGANY-LIMESTONE CSD","2021-05-01",8,0,1,1,25,7,8,3600015,1197,6.68337510442774,0.47425267,0.52574736,0,40302060000,2021,1066,572,17045,17617,3,98,5,0,8,18,37,2,94,96,"ALLEGANY-LIMESTONE CSD",10.8775510204082,"ALLEGANY-LIMESTONE CSD","2020-21",101185.25,58948.7449,1
"ALTMAR-PARISH-WILLIAMSTOWN CSD","2020-11-01",1,1,0,2,1,1,0,3602820,1203,0.831255195344971,0,0.48022518,0.51977479,460102040000,2021,1070,1269,22606,23875,2,87,4,2,10,15,56,3,73,82,"ALTMAR-PARISH-WILLIAMSTOWN CSD",12.2988505747126,"ALTMAR-PARISH-WILLIAMSTOWN CSD","2020-21",95578.75,71893.63218,NA
